TID: [-1234] [] [2017-04-14 10:36:07,201]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:36:07,627]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:36:07,627]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:36:07,630]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:36:07,630]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:36:08,011]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:36:08,012]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:36:08,014]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:36:08,014]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:36:08,405]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:36:08,405]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:36:08,407]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:36:08,408]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:36:08,676]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:36:08,676]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
TID: [-1234] [] [2017-04-14 10:36:08,678]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Connected as: jndi_user 
TID: [-1234] [] [2017-04-14 10:36:08,679]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Framesize set to 65535 
TID: [-1234] [] [2017-04-14 10:36:09,101]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  SASL Mechanism selected: PLAIN 
TID: [-1234] [] [2017-04-14 10:36:09,102]  INFO {org.wso2.andes.server.handler.ConnectionStartOkMethodHandler} -  Locale selected: en_US 
